Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
7/7/14,Home,2014-07-07T00:00:00-07:00,2014-07-07T09:29:21-07:00,34161,37.8651493645,-122.282029798,Home,
7/7/14,Sutardja Dai Hall - CITRIS Building,2014-07-07T09:48:34-07:00,2014-07-07T13:33:53-07:00,13519,37.87481528371463,-122.2583994269371,College Technology Building,http://foursquare.com/venue/4a68c693f964a520fcca1fe3
7/7/14,Place in Berkeley,2014-07-07T13:45:22-07:00,2014-07-07T14:20:27-07:00,2105,37.8688801607,-122.2585626064,,
7/7/14,Sutardja Dai Hall - CITRIS Building,2014-07-07T14:32:01-07:00,2014-07-07T19:48:21-07:00,18980,37.87481528371463,-122.2583994269371,College Technology Building,http://foursquare.com/venue/4a68c693f964a520fcca1fe3
7/7/14,Recreational Sports Facility (RSF),2014-07-07T19:51:51-07:00,2014-07-07T20:52:45-07:00,3654,37.8686826907337,-122.262618027927,College Gym,http://foursquare.com/venue/4a68deb9f964a52028cb1fe3
7/7/14,Place in Berkeley,2014-07-07T20:58:51-07:00,2014-07-07T21:48:37-07:00,2986,37.8680715836,-122.2591184923,,
7/7/14,Place in Berkeley,2014-07-07T21:52:35-07:00,2014-07-07T22:30:00-07:00,2245,37.8715286365,-122.2682853653,,
7/7/14,Place in Berkeley,2014-07-07T22:48:45-07:00,2014-07-07T22:55:34-07:00,409,37.8789464939,-122.2652457569,,
7/7/14,Home,2014-07-07T23:51:16-07:00,2014-07-08T00:00:00-07:00,524,37.8651493645,-122.282029798,Home,
7/8/14,Home,2014-07-08T00:00:00-07:00,2014-07-08T13:10:51-07:00,47451,37.8651493645,-122.282029798,Home,
7/8/14,Siemens Berkeley,2014-07-08T13:19:32-07:00,2014-07-08T13:30:00-07:00,628,37.8704362297,-122.2662692272,Work,
7/8/14,School of Information,2014-07-08T13:33:16-07:00,2014-07-08T16:06:28-07:00,9192,37.87135752021174,-122.2584125748343,College Technology Building,http://foursquare.com/venue/4f184661e4b0b34551aaa7cb
7/8/14,Sutardja Dai Hall - CITRIS Building,2014-07-08T16:15:34-07:00,2014-07-08T17:54:23-07:00,5929,37.87481528371463,-122.2583994269371,College Technology Building,http://foursquare.com/venue/4a68c693f964a520fcca1fe3
