Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
6/30/14,Home,2014-06-30T00:00:00-07:00,2014-06-30T16:46:48-07:00,60408,37.8651493645,-122.282029798,Home,
6/30/14,Place in McLaughlin Hall,2014-06-30T16:59:29-07:00,2014-06-30T19:38:29-07:00,9540,37.8737944085,-122.2588509546,,
6/30/14,Recreational Sports Facility (RSF),2014-06-30T19:55:49-07:00,2014-06-30T22:01:05-07:00,7516,37.8686826907337,-122.262618027927,College Gym,http://foursquare.com/venue/4a68deb9f964a52028cb1fe3
6/30/14,Home,2014-06-30T22:05:31-07:00,2014-07-01T00:00:00-07:00,6869,37.8651493645,-122.282029798,Home,
