Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
6/18/14,Home,2014-06-18T00:00:00-07:00,2014-06-18T18:05:56-07:00,65156,37.8651493645,-122.282029798,Home,
6/18/14,Place in Haas Pavilion,2014-06-18T18:18:14-07:00,2014-06-18T21:14:05-07:00,10551,37.8693466448,-122.2620834554,,
6/18/14,Place in Berkeley,2014-06-18T21:16:56-07:00,2014-06-18T21:22:04-07:00,308,37.8685642405,-122.2604173632,,
6/18/14,Place in Berkeley,2014-06-18T21:27:46-07:00,2014-06-18T21:57:20-07:00,1774,37.8683408974,-122.259185787,,
6/18/14,Home,2014-06-18T22:03:22-07:00,2014-06-19T00:00:00-07:00,6998,37.8651493645,-122.282029798,Home,
